Simulacion a traves del Metodo de Runge-Kutta de Orden Cuatro: 
t_i 		 | 	 x_i 		 | 	 y_i
27.90000 	 | 	 3.85469 	 | 	 1.05546
28.00000 	 | 	 4.07450 	 | 	 1.09736
28.10000 	 | 	 4.29487 	 | 	 1.14849
28.20000 	 | 	 4.51193 	 | 	 1.20993
28.30000 	 | 	 4.72091 	 | 	 1.28285
28.40000 	 | 	 4.91616 	 | 	 1.36845
28.50000 	 | 	 5.09118 	 | 	 1.46793
28.60000 	 | 	 5.23873 	 | 	 1.58230
28.70000 	 | 	 5.35120 	 | 	 1.71228
28.80000 	 | 	 5.42105 	 | 	 1.85804
28.90000 	 | 	 5.44148 	 | 	 2.01898
29.00000 	 | 	 5.40725 	 | 	 2.19342
29.10000 	 | 	 5.31550 	 | 	 2.37845
29.20000 	 | 	 5.16652 	 | 	 2.56978
29.30000 	 | 	 4.96413 	 | 	 2.76186
29.40000 	 | 	 4.71566 	 | 	 2.94823
29.50000 	 | 	 4.43134 	 | 	 3.12204
29.60000 	 | 	 4.12319 	 | 	 3.27674
29.70000 	 | 	 3.80375 	 | 	 3.40677
29.80000 	 | 	 3.48473 	 | 	 3.50811
29.90000 	 | 	 3.17604 	 | 	 3.57853
30.00000 	 | 	 2.88520 	 | 	 3.61763
